,Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,2.714,FIN,developed
1,2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,2.394,DNK,developed
2,3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,2.241,NOR,developed
3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,2.401,ISL,developed
4,5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,2.394,NLD,developed
5,6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,2.272,CHE,developed
6,7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,2.246,SWE,developed
7,8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,2.126,NZL,developed
8,9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,2.1919999999999997,CAN,developed
9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.377,AUT,developed
10,11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,2.093,AUS,developed
11,12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,2.9339999999999997,CRI,developed
12,13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,2.665,ISR,developed
13,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,1.954,LUX,developed
14,15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,2.1109999999999998,GBR,developed
15,16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,1.8459999999999999,IRL,developed
16,17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,2.15,DEU,developed
17,18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,2.234,BEL,developed
18,19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,2.266,USA,developed
